Zeit;Route;Sprung;Von System;Nach System;Distanz Lj;Verbrauch geplant t;Used Capacity vor Sprung t;Capacity Maximum t;Tank vor Sprung t;Tank nach Sprung t;Tank Maximum t;Verbrauch IST t;Abweichung t;Nachgetankt nach Sprung;Ermitteltes Nachtanken vor Sprung t;Tank OCR Messungen
2026-08-19T20:36:10+02:00;/home/holger/Schreibtisch/route.csv;1;Plio Aihm XG-O c6-45;Plio Aihm UC-V d2-159;109.900;28;23837;25000;1000;975;1000;25;-3;Nein;;1
2026-08-19T21:14:08+02:00;/home/holger/Schreibtisch/route.csv;1;Plio Aihm UC-V d2-159;Plio Aihm JZ-R c4-12;79.700;24;23837;25000;975;950;1000;25;1;Nein;;1
2026-08-19T22:09:10+02:00;/home/holger/Schreibtisch/route.csv;1;Plio Aihm JZ-R c4-12;Plio Aihm OV-T b31-8;498.500;132;23837;25000;950;821;1000;129;-3;Nein;;1
2026-08-19T22:30:09+02:00;/home/holger/Schreibtisch/route.csv;2;Plio Aihm OV-T b31-8;Plio Aihm FW-B c27-33;498.200;132;23837;25000;821;692;1000;129;-3;Nein;;1
2026-08-19T22:51:09+02:00;/home/holger/Schreibtisch/route.csv;3;Plio Aihm FW-B c27-33;Eodgovvy QH-U b17-2;499.900;132;23837;25000;692;563;1000;129;-3;Nein;;1
2026-08-19T23:12:08+02:00;/home/holger/Schreibtisch/route.csv;4;Eodgovvy QH-U b17-2;Preae Aihm LT-I d9-61;498.900;131;23837;25000;563;435;1000;128;-3;Nein;;1
2026-08-19T23:33:11+02:00;/home/holger/Schreibtisch/route.csv;5;Preae Aihm LT-I d9-61;Synookoi WO-A d21;499.800;131;23837;25000;435;307;1000;128;-3;Ja;;1
2026-08-19T23:54:11+02:00;/home/holger/Schreibtisch/route.csv;6;Synookoi WO-A d21;Synookoi QL-H b25-2;498.900;131;23837;25000;307;871;1000;;;Nein;0;1
2026-08-20T00:15:11+02:00;/home/holger/Schreibtisch/route.csv;7;Synookoi QL-H b25-2;Synookoi RT-Q b47-6;498.300;130;23837;25000;871;742;1000;129;-1;Nein;;1
2026-08-20T00:36:08+02:00;/home/holger/Schreibtisch/route.csv;8;Synookoi RT-Q b47-6;Pueloea YT-Q c5-42;498.500;132;23837;25000;742;613;1000;129;-3;Nein;;1
2026-08-20T00:57:11+02:00;/home/holger/Schreibtisch/route.csv;9;Pueloea YT-Q c5-42;Pueloea ZQ-Q b33-8;499.900;132;23837;25000;613;484;1000;129;-3;Nein;;1
2026-08-20T01:18:10+02:00;/home/holger/Schreibtisch/route.csv;10;Pueloea ZQ-Q b33-8;Pueloea MD-A d14-213;499.800;132;23837;25000;484;356;1000;128;-4;Nein;;1
2026-08-20T01:39:08+02:00;/home/holger/Schreibtisch/route.csv;11;Pueloea MD-A d14-213;Blo Aihm BM-U b17-4;499.900;131;23837;25000;356;228;1000;128;-3;Ja;;1
2026-08-20T02:00:10+02:00;/home/holger/Schreibtisch/route.csv;12;Blo Aihm BM-U b17-4;Blo Aihm ZD-E b40-34;497.200;130;23837;25000;228;661;1000;;;Nein;0;1
2026-08-20T02:21:08+02:00;/home/holger/Schreibtisch/route.csv;13;Blo Aihm ZD-E b40-34;Iockols BB-Z c87;499.800;131;23837;25000;661;532;1000;129;-2;Nein;;1
2026-08-20T02:42:09+02:00;/home/holger/Schreibtisch/route.csv;14;Iockols BB-Z c87;Byoi Aip AX-B c13-319;499.300;130;23837;25000;532;404;1000;128;-2;Nein;;1
2026-08-20T03:03:10+02:00;/home/holger/Schreibtisch/route.csv;15;Byoi Aip AX-B c13-319;Byoi Aip ZK-P e5-2990;499.800;132;23837;25000;404;276;1000;128;-4;Ja;;2
2026-08-20T03:24:11+02:00;/home/holger/Schreibtisch/route.csv;16;Byoi Aip ZK-P e5-2990;Eorl Aod WJ-G b11-73;499.700;133;22583;25000;1000;874;1000;126;-7;Nein;1254;1
2026-08-20T03:45:09+02:00;/home/holger/Schreibtisch/route.csv;17;Eorl Aod WJ-G b11-73;Eorl Aod WW-P b33-44;499.300;132;22583;25000;874;748;1000;126;-6;Nein;;1
2026-08-20T04:06:09+02:00;/home/holger/Schreibtisch/route.csv;18;Eorl Aod WW-P b33-44;Eorl Aod VW-Z c27-175;499.700;132;22583;25000;748;622;1000;126;-6;Nein;;1
2026-08-20T04:27:09+02:00;/home/holger/Schreibtisch/route.csv;19;Eorl Aod VW-Z c27-175;Whambooe XD-J c9-317;499.300;132;22583;25000;622;497;1000;125;-7;Nein;;1
2026-08-20T04:48:11+02:00;/home/holger/Schreibtisch/route.csv;20;Whambooe XD-J c9-317;Whambooe YZ-G d10-1903;500.000;131;22583;25000;497;372;1000;125;-6;Nein;;1
2026-08-20T05:09:09+02:00;/home/holger/Schreibtisch/route.csv;21;Whambooe YZ-G d10-1903;Eorl Auwsy XG-X c1-287;499.800;131;22583;25000;372;247;1000;125;-6;Ja;;1
2026-08-20T05:30:08+02:00;/home/holger/Schreibtisch/route.csv;22;Eorl Auwsy XG-X c1-287;Eorl Auwsy PD-C a56-0;499.800;131;22583;25000;247;651;1000;;;Nein;0;1
2026-08-20T05:51:10+02:00;/home/holger/Schreibtisch/route.csv;23;Eorl Auwsy PD-C a56-0;Eorl Auwsy KM-D d12-926;499.800;130;22583;25000;651;525;1000;126;-4;Nein;;1
2026-08-20T06:12:08+02:00;/home/holger/Schreibtisch/route.csv;24;Eorl Auwsy KM-D d12-926;Shrogaae KK-A d983;229.400;62;22583;25000;525;465;1000;60;-2;Nein;;1
2026-08-20T19:43:08+02:00;/home/holger/Schreibtisch/fleet-carrier-Shrogaae ZL-Z b59-Tyriedgiae IV-N c20-1-FFDD06AE-9CBA-11F1-88D8-F9FA3A4687E5.csv;1;Shrogaae ZL-Z b59;Ongaihn PV-L c21-477;499.707;132;22054;25000;1000;875;1000;125;-7;Nein;;1
2026-08-20T20:04:11+02:00;/home/holger/Schreibtisch/fleet-carrier-Shrogaae ZL-Z b59-Tyriedgiae IV-N c20-1-FFDD06AE-9CBA-11F1-88D8-F9FA3A4687E5.csv;2;Ongaihn PV-L c21-477;Ongaihn LH-D c12-156;499.909;132;22054;25000;875;750;1000;125;-7;Nein;;1
2026-08-20T20:25:10+02:00;/home/holger/Schreibtisch/fleet-carrier-Shrogaae ZL-Z b59-Tyriedgiae IV-N c20-1-FFDD06AE-9CBA-11F1-88D8-F9FA3A4687E5.csv;3;Ongaihn LH-D c12-156;Ongaihn FY-U c2-441;498.319;131;22054;25000;750;626;1000;124;-7;Nein;;1
